sku,name,brand,price,currency,in_stock,category,colors
XPRS-00074,Monitor MSI PRO MP251 E2 25 Inch IPS FHD 120Hz,MSI,6450.00,EGP,10,Computer Monitors,
XPRS-00075,Lenovo L24i-4A (D24238FL0) 23.8-inch IPS FHD 100Hz Monitor,Lenovo,7151.00,EGP,10,Computer Monitors,Black|White|Gray
XPRS-00076,Lenovo Legion R24e 23.8-inch IPS FHD 180Hz Gaming Monitor,Lenovo,7899.00,EGP,10,Computer Monitors,Black
XPRS-00077,"Msi MAG 244F 24-inch Gaming Monitor, Flat Rapid IPS 200Hz Display",MSI,9382.00,EGP,10,Computer Monitors,Black
XPRS-00078,MSI MAG 256F,MSI,12314.00,EGP,10,Computer Monitors,Black
XPRS-00079,MSI MAG 276CXF,MSI,12666.00,EGP,10,Computer Monitors,Black
XPRS-00080,Lenovo Legion R27fc-30 27 inch FHD Curved Gaming Monitor,Lenovo,14074.00,EGP,10,Computer Monitors,
XPRS-00081,MAG 32C6X,MSI,15129.00,EGP,10,Computer Monitors,Black
XPRS-00082,MSI MAG 274QF X24,MSI,17358.00,EGP,10,Computer Monitors,Black
XPRS-00083,MSI G321Q,MSI,19938.00,EGP,10,Computer Monitors,Black
XPRS-00084,MAG 274QPF X30MV,MSI,25567.00,EGP,10,Computer Monitors,Black
XPRS-00085,MPG 274URDFW E16M,MSI,36709.00,EGP,10,Computer Monitors,Black
XPRS-00086,MAG 273QP QD-OLED X24,MSI,42081.00,EGP,10,Computer Monitors,
XPRS-00087,MAG 272QP QD-OLED X50,MSI,59345.00,EGP,10,Computer Monitors,Black
XPRS-00088,MPG 321URX QD-OLED,MSI,62782.00,EGP,10,Computer Monitors,Black
XPRS-00089,Recci Computer Stand Rho-M21,Recci,685.00,EGP,10,Computer Risers & Stands,Silver
XPRS-00090,Recci Computer Stand 180 Bracket Rm05,Recci,1170.00,EGP,10,Computer Risers & Stands,Black|Silver
XPRS-00091,Purity Built-in Electric 30 CM Hob 2 Eyes HPT302SE,Purity,6199.00,EGP,10,Cooktops,Silver
XPRS-00092,Purity Built-in Electric Hob Ceramic 30 CM 2 Eyes HPREE V3050,Purity,7699.00,EGP,10,Cooktops,Black|White
XPRS-00093,Purity Built-in Gas Hob 4 Eyes Enameled Pan Stand HPT604S,Purity,8199.00,EGP,10,Cooktops,Silver|Black
XPRS-00094,Purity Built-in Gas Hob 4 Eyes 60 CM Heavy Duty Grids HPT602S,Purity,10999.00,EGP,10,Cooktops,Black
XPRS-00095,Purity Built-in Gas Hob 4 Eyes 60 Cm Heavy Duty Grids HPT603S,Purity,11299.00,EGP,10,Cooktops,Silver
XPRS-00096,Purity Built-in Gas Hob 4 Eyes 60 Cm Heavy Duty Grids HPT602G,Purity,13299.00,EGP,10,Cooktops,Black
XPRS-00097,Purity Built-in Gas Hob 60cm 4 Burners Heavy Duty Holders HPT617G,Purity,13999.00,EGP,10,Cooktops,Black
XPRS-00098,Purity Built-in Gas Hob 60 cm 4 Burners Heavy Duty Holders HPT652G,Purity,14399.00,EGP,10,Cooktops,Black
XPRS-00099,Purity Built-in Gas Hob 60 cm 4 Burners Heavy Duty Holders HPT603G,Purity,14799.00,EGP,10,Cooktops,Black
XPRS-00100,Purity Built In Gas Hob 4 Eyes Heavy Duty Grids HPT606G,Purity,14999.00,EGP,10,Cooktops,Black
XPRS-00101,Purity Built-in Gas Hob 60 cm 4 Burners Heavy Duty Holders HPT622-GX,Purity,15999.00,EGP,10,Cooktops,Black
XPRS-00102,Purity Built-in Gas Hob 90 cm 5 Burners Heavy Duty Holders HPT975S,Purity,16399.00,EGP,10,Cooktops,Silver
XPRS-00103,Purity Built-in Gas Hob 90 cm 5 Burners Heavy Duty Holders HPT906S,Purity,16399.00,EGP,10,Cooktops,Silver
XPRS-00104,Purity Built-in Gas Hob 70 cm 5 Burners Heavy Duty Holders HPT713S,Purity,16399.00,EGP,10,Cooktops,
XPRS-00105,Bosch Built-In Gas Hob 60cm Series 4 Stainless Steel - PGP6B5K60Q,Bosch,16799.00,EGP,10,Cooktops,Silver
XPRS-00106,Purity Built-in Gas Hob 70 cm 5 Burners Heavy Duty Holders HPT713G,Purity,16999.00,EGP,10,Cooktops,Black
XPRS-00107,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT975G,Purity,17399.00,EGP,10,Cooktops,Black
XPRS-00108,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT939G,Purity,17899.00,EGP,10,Cooktops,Black
XPRS-00109,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT906G,Purity,17899.00,EGP,10,Cooktops,Black
XPRS-00110,Purity Built-in Gas Hob 90 cm 6 Burners Heavy Duty Holders HPT903S,Purity,17899.00,EGP,10,Cooktops,Silver|Black
XPRS-00111,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT911G,Purity,18199.00,EGP,10,Cooktops,Black
XPRS-00112,Purity Built-in Gas Hob 90 cm 5 Burners Heavy Duty Holders HPT911S,Purity,18199.00,EGP,10,Cooktops,Black
XPRS-00113,Purity Built-in Gas Hob 90 CM 6 Burners Heavy Duty Holders HPT903G,Purity,18399.00,EGP,10,Cooktops,Black
XPRS-00114,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT913G,Purity,18399.00,EGP,10,Cooktops,Black
XPRS-00115,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT912G,Purity,18399.00,EGP,10,Cooktops,Black
XPRS-00116,Purity Built In Gas Hob 4 Gas Burner + 1 Electric Burner Heavy Duty Grids HPT909ES,Purity,18399.00,EGP,10,Cooktops,Black
XPRS-00117,Bosch Gas Hob 4 Burner 60 cm Black - PCP6A6B90,Bosch,18899.00,EGP,10,Cooktops,Black
XPRS-00118,Purity Built In Gas Hob 5 Eyes Heavy Duty Grids 90 CM Glass Black HPT911 MAT-BL,Purity,18999.00,EGP,10,Cooktops,Black
XPRS-00119,Purity Built-in Gas Hob 90 CM 6 Burners Heavy Duty Holders HPT904G,Purity,20499.00,EGP,10,Cooktops,Black
XPRS-00120,Purity Built-in Gas Hob 90 CM 6 Burners Heavy Duty Holders HPT916G,Purity,20599.00,EGP,10,Cooktops,Black
XPRS-00121,Bosch Built-In Gas Hob 5 Burner 75 cm Stainless Steel - PCQ7A5B90,Bosch,22499.00,EGP,10,Cooktops,Silver
XPRS-00122,Bosch Gas Hob 5 Burners 75 cm Hard Glass Black - PPQ7A6B20,Bosch,23599.00,EGP,10,Cooktops,Black
XPRS-00123,Bosch Series 6 Cooker 90 * 60 cm 5 Burners Cast Iron Digital Screen Full Safety - HJY5G7V61S,Bosch,36599.00,EGP,10,Cooktops,Black|Silver
XPRS-00124,Purity Built-In Induction Electric Hob with Hood – FTS472G3QWP (90 cm),Purity,65599.00,EGP,10,Cooktops,Black
XPRS-00125,"Xiaomi Smart Tower Fan 2, 24W - White",Xiaomi,9799.00,EGP,10,Desk & Pedestal Fans,White
XPRS-00126,HP OmniStudio X All-in-One Desktop - Intel Core Ultra 5 125H - Intel Arc Graphics - 16GB Ram - 256GB - Windows 11 Home,HP,95130.00,EGP,10,Desktop Computers,Silver
XPRS-00127,HP OmniStudio X All-in-One Desktop - RTX 4050 - Intel Core Ultra 5 125H - 16GB Ram - 512GB - Windows 11 Home,HP,110767.00,EGP,10,Desktop Computers,Silver
XPRS-00128,Hp OmniStudio X AI All-in-One Desktop Ultra 7 155H - 16GB - 512GB - RTX 4050 - 31.5-inch 4K Display,HP,121974.00,EGP,10,Desktop Computers,Silver
XPRS-00129,Redmi Buds6 Active - Pink,Redmi,1136.00,EGP,10,Earbuds,
XPRS-00130,HUAWEI FreeBuds SE 2 - Blue,HUAWEI,1747.00,EGP,10,Earbuds,
XPRS-00131,"Philips Series 5000 Turkish Coffee Maker, 735 Watt, Black Copper - HDA150/60",Philips,3499.00,EGP,10,Electric & Stovetop Espresso Pots,Black
XPRS-00132,"Mienta Electric Kettle, 1.7 Liter, 2200 Watt, EK201937A - Black",mienta,999.00,EGP,10,Electric Kettles,Black
XPRS-00133,"Xiaomi Electric Glass Kettle 1.7L, 2200W Power LED Light Display - Silver",Xiaomi,2399.00,EGP,10,Electric Kettles,Silver
XPRS-00134,"Xiaomi Smart Kettle 2 Pro 1800 Watt, 1.7L - White",Xiaomi,3999.00,EGP,10,Electric Kettles,White
XPRS-00135,"De'Longhi Dedica Duo EC890.M, Barista Coffee Machine with Pump, Espresso and Cold Brew, Manual Coffee Machine with LatteArt Steam Rod, 15 cm Wide, 2 Espresso, Touch Screen, Cup up to 13 cm, Metal",De'Longhi,13999.00,EGP,10,Espresso Machines,Silver
XPRS-00136,"De’Longhi Magnifica Start, Bean-to-Cup Coffee Machine, 1450W – ECAM220.22.GB",De'Longhi,31399.00,EGP,10,Espresso Machines,Black
XPRS-00137,"Bosch Espresso machine Series 2, Fully Automatic, 1.4 liters Tank, black - TIE20119",Bosch,37699.00,EGP,10,Espresso Machines,Black
XPRS-00138,"De’Longhi Magnifica Evo, Bean-to-Cup Coffee Machine, 1450W – (ECAM290.21.B)",De'Longhi,37799.00,EGP,10,Espresso Machines,Black
XPRS-00139,Bosch Espresso Machine 400 Watt Full  Digital  Automatic  Black -TIS65429RW,Bosch,47099.00,EGP,10,Espresso Machines,Black
XPRS-00140,"Bosch Hand Blender, 450 Watt, White - MSM64110",Bosch,2099.00,EGP,10,Food Blenders,White
XPRS-00141,"Braun MultiQuick 2 Hand Blender, 600 Watt, White\Blue - MQ20001M",Braun,2499.00,EGP,10,Food Blenders,White
XPRS-00142,"Bosch Hand Blender ErgoMaster Series 4, 800 watt – MSM4W420",Bosch,2999.00,EGP,10,Food Blenders,Black
XPRS-00143,"Bosch  Hand Blender, 600 Watt, 600 ml Capacity, 12 Speeds - White Silver - MSM66120",Bosch,3199.00,EGP,10,Food Blenders,
XPRS-00144,"Braun MultiQuick 3 Hand Blender, White\Blue – MQ3025",Braun,3799.00,EGP,10,Food Blenders,White|Clear
XPRS-00145,"Tornado Hand Blender Set, 1000-Watt, Food Processor, Whisk, Black - THB-1000MK",Tornado,4099.00,EGP,10,Food Blenders,Black
XPRS-00146,"Braun MultiQuick 5 Vario Hand Blender, 1000 Watt, White/Grey – MQ5245",Braun,4999.00,EGP,10,Food Blenders,White
XPRS-00147,"Xiaomi Smart Blender 1000W, 1600mL, White",Xiaomi,6499.00,EGP,10,Food Blenders,White
XPRS-00148,"Bosch Series 6 ErgoMaster Multifunction Hand Blender, 600ml, 1000 W, Black Silver - MSM6M623",Bosch,6799.00,EGP,10,Food Blenders,Black
XPRS-00149,"Bosch Food Processor 900 Watt, Black and Silver - MCM3PM386",Bosch,8899.00,EGP,10,Food Blenders,Black
XPRS-00150,"Bosch Multitalent 8 Food Processor, 1250 Watt, Black Stainless Steel - MC812M844",Bosch,9899.00,EGP,10,Food Blenders,Black
XPRS-00151,"Bosch CompactPower Meat Mincer, 1600 Watt, White \ Red - MFW3630I",Bosch,6999.00,EGP,10,Food Grinders,White
XPRS-00152,"Bosch Series 4 VitaPower MMB6172B Stand Mixer (1,200 watts, 1.5 litre)",Bosch,6699.00,EGP,10,Food Mixers,Black
XPRS-00153,"Bosch Mum Serie 2 Kitchen Machine - 900 Watt, Black and Stainless Steel - MUMS2VM00",Bosch,9499.00,EGP,10,Food Mixers,Black
XPRS-00154,"Bosch MUM 5 Kitchen Machine, 900 Watt, White and Silver - MUM54251",Bosch,13099.00,EGP,10,Food Mixers,White
XPRS-00155,"Sonai Vegetables Chopper Stainless Steel Blades 120W, 350ml - White - SH-570",Sonai,899.00,EGP,10,Food Processors,White
XPRS-00156,Tornado Chopper 400-Watt 1.5 Liter Mince Meat White - CH-400BL,Tornado,1599.00,EGP,10,Food Processors,
XPRS-00157,"Bosch Food processor MultiTalent 3 800 W Black, Brushed stainless steel - MCM3421M",Bosch,4199.00,EGP,10,Food Processors,
XPRS-00158,"Tornado Food Processor, 1000-Watt, 1.2 Liter Bowl, White - TFP-1000CC",Tornado,4499.00,EGP,10,Food Processors,White
XPRS-00159,WiWU Mini Car Bracket - Black,wiwu,233.00,EGP,10,GPS Mounts,
XPRS-00160,Apple AirTag (4 Pack),Apple,7777.00,EGP,10,GPS Tracking Devices,
XPRS-00161,Logitech G29 Driving Force Steering Wheels,Logitech,13999.00,EGP,10,Game Racing Wheels,
XPRS-00162,MSI Thin 15 B13UCX - intel core i5-13420H - RTX 2050 (8GB Ram / 512GB SSD) 15.6-inch 144Hz Display,MSI,33147.00,EGP,10,Gaming Computers,Gray
XPRS-00163,MSI Cyborg 15 A13VF - Raptor Lake i7-13620H - RTX 4060 - (16GB / 512GB SSD) 15.6 inch- FHD 144Hz Display,MSI,54470.00,EGP,10,Gaming Computers,Black
XPRS-00164,ASUS TUF A14 Ryzen 7 8845HS (FA401UU-RG028W) RTX 4050 - 16GB RAM - 512GB SSD - 14 inches- Windows 11 Home,ASUS,57999.00,EGP,10,Gaming Computers,Black
XPRS-00165,MSI sword 16HX B14VFKG - Intel Core i7‑14650HX - RTX4060 - 16GB Ram - 512GB SSD - Dos,MSI,58888.00,EGP,10,Gaming Computers,Black
XPRS-00166,ASUS TUF A14 -Ryzen AI 9 HX 370 RTX 4050  (FA401WU-RG037W) 16GB RAM / 1TB SSD) 14-inch 165Hz Display – Windows 11,ASUS,65800.00,EGP,10,Gaming Computers,Black
XPRS-00167,ASUS TUF A16 (FA608UH-RV007W) AMD Ryzen 7 260 - RTX 5050 (16GB RAM / 512GB SSD) 16 Inch FHD 165Hz Display - Windows 11 Home,ASUS,67520.00,EGP,10,Gaming Computers,Black
XPRS-00168,MSI Sword 16 HX B14VFKG - intel core i9 14900HX - RTX 4060 - 16GB Ram - 1TB - 144Hz Display,MSI,69999.00,EGP,10,Gaming Computers,Gray
XPRS-00169,MSI Crosshair 16 HX AI D2XWFKG Intel Ultra 7 255HX –16GB RAM– RTX 5060 GDDR7 8GB– 1TB SSD – 16″ QHD+ 240Hz – Gaming Laptop (9S7-15P421-208 ),MSI,77900.00,EGP,10,Gaming Computers,Black
XPRS-00170,Asus ROG Strix G16 (G614FM-RV169W) AMD Ryzen 9 9955HX - RTX 5060 (16GB Ram / 1TB) 16 Inch FHD+ 165Hz Display - Windows 11 Home,ASUS,96700.00,EGP,10,Gaming Computers,Gray
XPRS-00171,MSI Vector 16 HX AI A2XWHG Core Ultra 7 RTX 5070 TI 12GB GDDR7 16GB RAM 1TB SSD 16″ QHD+240Hz WIN 11( 9S7-15M352-489),MSI,99999.00,EGP,10,Gaming Computers,Gray|Black
XPRS-00172,MSI Vector 16 HX AI A2XWHG - Intel Core Ultra 9-275HX - RTX 5070 Ti (1TB SSD / 32GB RAM) 16-inch QHD 240Hz Display,MSI,129999.00,EGP,10,Gaming Computers,Gray
XPRS-00173,Asus ROG Strix SCAR 18 (G835LR-AI3201W) RTX 5070 Ti - Ultra 9 275HX (32GB Ram / 1TB SSD) 18 Inch 2.5K Display - Windows 11,ASUS,168777.00,EGP,10,Gaming Computers,Gray
XPRS-00174,Asus ROG Strix G16 (G615LW-RV132W) Intel Ultra 9 275HX - RTX 5080 (32GB RAM / 1TB SSD) 16-inch FHD+ 165Hz Display - Win 11 Home,ASUS,169999.00,EGP,10,Gaming Computers,Gray
XPRS-00175,"ASUS TUF Gaming F16 (FX607VJB-RL805W) Intel Core 5 210H, 8GB RAM, 512GB SSD, RTX 3050-6G, 16"" 144Hz Display, Win11 H",ASUS,44700.00,EGP,10,Gaming Laptops,Black|Gray
XPRS-00176,"ASUS TUF Gaming A15 (FA506NCQ-HN167W) Amd Ryzen 7-170H, 16GB RAM, 512GB SSD, RTX 3050-4G, 15.6"" FHD 144Hz Display, Win11 H",ASUS,46299.00,EGP,10,Gaming Laptops,Black|Geometric
XPRS-00177,MSI Cyborg 15 A2RUDX - Intel Core 7 240H - 512GB SSD - 16GB Ram DDR5 - RTX 3050 - 15.6 Inch FHD 144Hz Display - Win11 Home,MSI,48888.00,EGP,10,Gaming Laptops,
XPRS-00178,"MSI Katana 15 HX B14WEK-832 - Intel Core i7 14650HX - RTX 5050 - 16G Ram DDR5 - 512GB SSD Gen4 - 15.6"" QHD IPS 165Hz Display- windows 11",MSI,57777.00,EGP,10,Gaming Laptops,
XPRS-00179,MSI Katana 15 HX B14WFK-245EG - Intel Core i7 -14650HX - RTX 5060 8GB - 16GB Ram DDR5 - 1TB SSD - 15.6 inch QHD IPS 165Hz Display,MSI,66950.00,EGP,10,Gaming Laptops,
XPRS-00180,"ASUS TUF Gaming F16 (FX608JHR-RV057W) Intel Core i7-14650HX, 16GB RAM, 512GB SSD, RTX 5050-8GB, 16"" 165Hz Display, Win11 H",ASUS,73550.00,EGP,10,Gaming Laptops,Black
XPRS-00181,"ASUS TUF Gaming F16 (FX608JMR-RV057W) Intel Core i7-14650HX, 16GB RAM, 512GB SSD, RTX 5060-8GB, 16"" 165Hz Display, Win11 H",ASUS,77999.00,EGP,10,Gaming Laptops,Black
XPRS-00182,"Asus ROG Strix G16 (G614PH-RV161W) Amd Ryzen9-8940HX, 16GB RAM, 1TB SSD, RTX 5050-8GB, 16"" 165Hz Display, Win11 H",ASUS,88199.00,EGP,10,Gaming Laptops,Black
XPRS-00183,"Asus ROG Strix G16 (G615LM-RV009W) Intel Ultra 9-275HX, 16GB RAM, 1TB SSD, RTX 5060-8GB, 16"" FHD+ 165Hz Display, Win11 H",ASUS,113490.00,EGP,10,Gaming Laptops,
XPRS-00184,Maxco MPB-P11 Battery Pack 10000 mAh Magnetic Wireless Charging - White,Maxco,2344.00,EGP,10,General Purpose Battery Chargers,
